"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Cell adhesion molecules (CAMs)","Cell adhesion molecules (CAMs)","Cell adhesion molecules (CAMs)",130,0.494351729730396,1.33176423358382,0.000828876325615112,0.000828876325615112,0.00273008501136387,2435,"tags=25%, list=11%, signal=23%","VCAN/ITGAV/CD276/PDCD1LG2/CD86/ITGB1/PECAM1/NLGN2/CDH5/VCAM1/GLG1/PTPRM/CD34/SDC2/SIGLEC1/ICAM1/MPZL1/CD4/ITGA4/CD80/ITGAM/CNTNAP1/SELPLG/NRXN2/ITGB2/SELE/ESAM/NCAM2/ITGB8/CD99/CDH3/CD58/SELP"
"Glycosaminoglycan biosynthesis - heparan sulfate","Glycosaminoglycan biosynthesis - heparan sulfate","Glycosaminoglycan biosynthesis - heparan sulfate",26,0.648396017272169,1.57371485877308,0.000916800522548066,0.000916800522548066,0.00284702667083862,4034,"tags=50%, list=19%, signal=41%","HS3ST3A1/XYLT1/NDST1/EXTL2/EXT2/HS3ST3B1/EXTL1/EXTL3/HS2ST1/EXT1/HS6ST1/B4GALT7/HS3ST2"
"Hedgehog signaling pathway","Hedgehog signaling pathway","Hedgehog signaling pathway",56,0.571154133316677,1.47452367594946,0.000920463984393221,0.000920463984393221,0.00284702667083862,4840,"tags=46%, list=23%, signal=36%","WNT2/BMP8A/GLI2/WNT5A/GLI1/GAS1/GLI3/SUFU/FBXW11/CSNK1G3/DHH/CSNK1A1/WNT2B/BTRC/GSK3B/CSNK1G1/SMO/BMP6/PRKACA/CSNK1A1L/CSNK1E/RAB23/WNT7B/CSNK1G2/WNT10A/WNT9B"
"Endocytosis","Endocytosis","Endocytosis",181,0.471638101653898,1.28952602356116,0.00094803053059884,0.00094803053059884,0.00284702667083862,7293,"tags=52%, list=34%, signal=35%","RAB31/DAB2/F2R/PDGFRA/RAB11FIP5/CSF1R/SH3GLB1/NEDD4/EHD2/SMURF2/GIT2/ARAP1/PSD3/KDR/FLT1/IL2RA/GRK4/RNF41/RABEP1/AP2M1/RUFY1/EPS15/CBL/STAM2/AP2A1/EHD4/IQSEC1/CCR5/HSPA8/PIKFYVE/ARFGAP3/EPN2/CBLB/STAM/USP8/EEA1/CLTC/ACAP2/CXCR1/TRAF6/ARAP2/ASAP3/SH3KBP1/TSG101/ASAP2/NTRK1/ASAP1/PIP4K2B/ARRB2/CLTCL1/STAMBP/ITCH/HGS/RAB5A/RAB5B/GRK3/IL2RB/VPS37A/AP2B1/PIP5K1C/PIP5K1A/RBSN/CDC42/AP2A2/PLD2/HLA-E/CXCR4/AGAP2/GIT1/KIT/IQSEC3/ARAP3/IQSEC2/RAB11FIP3/DNM3/VTA1/HLA-B/DNM1/CHMP5/CHMP3/AP2S1/EHD1/MVB12B/CHMP6/CHMP1B/CHMP2B/PDCD6IP/DNM1L/DNAJC6/RAB5C/VPS45/VPS4B/AGAP1/ARFGAP1/GRK5"
"Acute myeloid leukemia","Acute myeloid leukemia","Acute myeloid leukemia",57,0.546161224729993,1.41104773542733,0.00151867512498459,0.00151867512498459,0.00443042066536857,5069,"tags=51%, list=24%, signal=39%","RUNX1/AKT3/PML/SPI1/PIK3R5/STAT3/PIK3CA/NFKB1/STAT5A/MAPK1/LEF1/SOS1/RUNX1T1/RPS6KB1/IKBKG/STAT5B/GRB2/PIK3R1/MAP2K1/BRAF/NRAS/RELA/SOS2/CHUK/PIK3CD/RAF1/PIK3R3/AKT2/KIT"
"Dilated cardiomyopathy","Dilated cardiomyopathy","Dilated cardiomyopathy",90,0.506069817208396,1.34183441535856,0.00175797877787988,0.00175797877787988,0.00498608015948387,4317,"tags=32%, list=20%, signal=26%","ITGA11/ITGAV/ITGB5/TPM4/TGFB1/TGFB3/ITGB1/LAMA2/CACNB3/SGCB/ITGA4/IGF1/ADCY3/ITGA5/ADCY7/ADCY4/ITGB8/SGCD/ITGB3/ATP2A2/ADCY9/ITGB4/ITGA1/ACTB/PRKACA/ITGA3/TGFB2/ITGA2/ITGA6"
"Systemic lupus erythematosus","Systemic lupus erythematosus","Systemic lupus erythematosus",54,0.544531731981837,1.40282428988869,0.00185001873154842,0.00185001873154842,0.00510531484950774,7306,"tags=56%, list=34%, signal=37%","C1S/FCGR2A/C1R/FCGR3A/CD86/FCGR1A/FCGR2B/C1QC/C1QB/C3/C1QA/CD80/C4A/C4B/FCGR3B/ACTN1/TRIM21/HLA-DRA/C7/HLA-DMB/HLA-DQA1/CTSG/CD40/CD28/SSB/HLA-DPA1/HLA-DPB1/HLA-DQA2/TNF/ELANE"
"ErbB signaling pathway","ErbB signaling pathway","ErbB signaling pathway",87,0.507745641370099,1.34359723336123,0.00290435828888476,0.00290435828888476,0.00780395440503662,5820,"tags=48%, list=27%, signal=35%","ABL2/SHC1/MAPK9/AKT3/SHC3/PIK3R5/ELK1/PIK3CA/PAK2/CBL/STAT5A/MAPK1/SOS1/NCK1/RPS6KB1/CRK/STAT5B/ABL1/GRB2/GSK3B/PIK3R1/SHC4/MAP2K1/BRAF/MAPK8/NRAS/CBLB/TGFA/SOS2/PLCG1/GAB1/MAP2K4/CRKL/PIK3CD/RAF1/PIK3R3/AKT2/PTK2/SHC2/MAP2K7/MAPK10/MTOR"
"Insulin signaling pathway","Insulin signaling pathway","Insulin signaling pathway",136,0.474666633027788,1.28165676666795,0.00327433551609133,0.00327433551609133,0.00857248434712171,7355,"tags=55%, list=34%, signal=36%","RHOQ/SHC1/FOXO1/MAPK9/HK3/AKT3/SHC3/PIK3R5/MKNK1/ELK1/INPP5K/RAPGEF1/PIK3CA/PRKAR1A/CBL/MAPK1/SOS1/PTPN1/EXOC7/RPS6KB1/CRK/PYGL/GRB2/GSK3B/PIK3R1/SHC4/MAP2K1/IRS1/BRAF/MAPK8/SOCS4/NRAS/CBLB/HK1/SOS2/PRKACA/PRKAA1/INSR/PHKB/PDPK1/SOCS3/CRKL/PDE3A/PIK3CD/RAF1/TSC2/PRKAG1/PIK3R3/AKT2/FLOT2/SHC2/CALM2/PPP1CB/IKBKB/PPP1R3D/MAPK10/MTOR/AKT1/IRS2/EIF4E/SOCS2/RHEB/RPTOR/PPP1R3B/TSC1/PRKACB/EIF4E2/PRKAB2/TRIP10/PRKX/FLOT1/PHKA2/PDE3B/ARAF/PRKAG2"
"B cell receptor signaling pathway","B cell receptor signaling pathway","B cell receptor signaling pathway",75,0.500987346596397,1.31388929846872,0.0047219907940994,0.0047219907940994,0.0120535028165169,4996,"tags=45%, list=23%, signal=35%","LILRB3/FCGR2B/RASGRP3/AKT3/NFATC4/PPP3CA/PIK3R5/PPP3CC/PIK3CA/NFKB1/MAPK1/CD81/SOS1/NFKBIA/NFATC1/IKBKG/GRB2/GSK3B/PIK3R1/MAP2K1/NRAS/NFAT5/RELA/PPP3CB/PPP3R1/SOS2/VAV2/NFATC3/CHUK/PIK3CD/RAF1/IFITM1/PIK3R3/AKT2"
"Glioma","Glioma","Glioma",65,0.526045849517487,1.37074022788602,0.00501943306845485,0.00501943306845485,0.0122026317704291,8195,"tags=66%, list=38%, signal=41%","PDGFRB/PDGFB/PDGFRA/SHC1/AKT3/SHC3/IGF1/PIK3R5/PIK3CA/PTEN/MAPK1/SOS1/GRB2/PIK3R1/SHC4/MAP2K1/BRAF/NRAS/TGFA/PDGFA/SOS2/RB1/PLCG1/PIK3CD/RAF1/PIK3R3/AKT2/SHC2/CALM2/TP53/MTOR/AKT1/CDK4/E2F3/PRKCA/ARAF/MDM2/PIK3CB/CDKN1A/HRAS/EGFR/PIK3CG/CAMK2D"
"RIG-I-like receptor signaling pathway","RIG-I-like receptor signaling pathway","RIG-I-like receptor signaling pathway",70,0.508704918817796,1.33030765582324,0.00501943306845485,0.00501943306845485,0.0122026317704291,4609,"tags=43%, list=22%, signal=34%","IFNK/AZI2/MAPK9/CYLD/MAP3K7/DDX58/MAPK11/NFKB1/ATG12/TANK/IFIH1/CXCL8/NFKBIA/TRAF3/IKBKG/RIPK1/MAPK14/SIKE1/MAPK8/RELA/DHX58/TBKBP1/DDX3X/TRAF6/ISG15/TBK1/OTUD5/IRF7/CHUK/IFNB1"
"T cell receptor signaling pathway","T cell receptor signaling pathway","T cell receptor signaling pathway",108,0.482213928485896,1.28612558293219,0.00598612244424827,0.00598612244424827,0.0142142931968686,5052,"tags=44%, list=24%, signal=33%","LCP2/MAPK9/FYN/AKT3/NFATC4/PPP3CA/CD4/PIK3R5/PPP3CC/PIK3CA/MAP3K7/MAPK11/NFKB1/PAK2/CBL/MAPK1/RHOA/SOS1/NFKBIA/NFATC1/NCK1/IKBKG/GRB2/GSK3B/PIK3R1/MAPK14/MAP2K1/NRAS/CBLB/NFAT5/RELA/PPP3CB/PPP3R1/SOS2/ICOS/PDPK1/VAV2/PLCG1/NFATC3/CDC42/CHUK/PIK3CD/RAF1/CSF2/PIK3R3/AKT2/MAP3K8"
"Glycosphingolipid biosynthesis - globo series","Glycosphingolipid biosynthesis - globo series","Glycosphingolipid biosynthesis - globo series",14,0.674036927743404,1.50951798052364,0.00759153550711322,0.00759153550711322,0.0176167211528704,4165,"tags=64%, list=20%, signal=52%","HEXB/NAGA/A4GALT/B3GALNT1/ST3GAL2/HEXA/ST8SIA1/ST3GAL1/GLA"
"Fc gamma R-mediated phagocytosis","Fc gamma R-mediated phagocytosis","Fc gamma R-mediated phagocytosis",95,0.479546027024251,1.27351182002405,0.00829497547231816,0.00829497547231816,0.0188213478553184,8391,"tags=62%, list=39%, signal=38%","FCGR2A/SPHK1/FCGR3A/MARCKS/HCK/FCGR1A/FCGR2B/AKT3/PIK3R5/LIMK1/AMPH/PIK3CA/LIMK2/MAPK1/PLPP3/RPS6KB1/CRK/ARPC5/PLPP1/PIK3R1/MAP2K1/PIKFYVE/ARPC2/ASAP3/ASAP2/WASF2/ASAP1/PIP4K2B/VAV2/PLCG1/PIP5K1C/PIP5K1A/CRKL/CDC42/PLD2/PIK3CD/DOCK2/RAF1/PIK3R3/AKT2/DNM3/WASL/RAC1/DNM1/AKT1/LYN/PTPRC/DNM1L/PRKCA/PRKCE/ARPC1B/PIK3CB/GAB2/VAV1/PIK3CG/ARF6/WAS/NCF1/GSN"
"Glycosaminoglycan degradation","Glycosaminoglycan degradation","Glycosaminoglycan degradation",21,0.629628181734811,1.49638359786412,0.00930323378052736,0.00930323378052736,0.0206501985517427,2949,"tags=48%, list=14%, signal=41%","ARSB/HS3ST3A1/HEXB/HS3ST3B1/HYAL2/GALNS/HGSNAT/IDS/HEXA/GNS"
"Hypertrophic cardiomyopathy (HCM)","Hypertrophic cardiomyopathy (HCM)","Hypertrophic cardiomyopathy (HCM)",83,0.492357694497389,1.29973602850374,0.0100884394781796,0.0100884394781796,0.0219166546334472,4317,"tags=31%, list=20%, signal=25%","ITGA11/ITGAV/ITGB5/TPM4/TGFB1/TGFB3/ITGB1/LAMA2/CACNB3/IL6/SGCB/ITGA4/IGF1/ITGA5/ITGB8/SGCD/ITGB3/ATP2A2/ITGB4/ITGA1/ACTB/PRKAA1/ITGA3/TGFB2/ITGA2/ITGA6"
"Melanoma","Melanoma","Melanoma",71,0.501990796054934,1.31319842155188,0.0121808215743637,0.0121808215743637,0.0259109581735369,8206,"tags=58%, list=38%, signal=36%","PDGFRB/PDGFC/PDGFB/PDGFRA/FGF7/FGF1/HGF/AKT3/IGF1/PIK3R5/PIK3CA/PTEN/MAPK1/PDGFD/MITF/PIK3R1/MAP2K1/BRAF/NRAS/FGFR1/PDGFA/FGF5/RB1/PIK3CD/RAF1/PIK3R3/AKT2/TP53/AKT1/CDK4/E2F3/FGF18/FGF2/ARAF/MDM2/PIK3CB/CDKN1A/HRAS/EGFR/PIK3CG/FGF10"
"Melanogenesis","Melanogenesis","Melanogenesis",101,0.470682667472161,1.25301047778467,0.0127786459835256,0.0127786459835256,0.0264005454175645,5069,"tags=37%, list=24%, signal=28%","WNT2/FZD1/GNAI2/WNT5A/CREB3L2/FZD4/CREB1/ADCY3/ADCY7/ADCY4/FZD8/MAPK1/LEF1/WNT2B/ADCY9/MITF/GSK3B/MAP2K1/GNAI3/EDN1/CREBBP/NRAS/FZD6/GNAQ/PLCB2/PRKACA/FZD2/EP300/DVL3/GNAI1/WNT7B/WNT10A/TYRP1/RAF1/WNT9B/FZD7/KIT"
"Basal cell carcinoma","Basal cell carcinoma","Basal cell carcinoma",55,0.511897625954756,1.32177939992728,0.0129281021374671,0.0129281021374671,0.0264005454175645,4922,"tags=38%, list=23%, signal=29%","WNT2/FZD1/GLI2/WNT5A/GLI1/GLI3/SUFU/FZD4/FZD8/LEF1/WNT2B/APC/GSK3B/FZD6/SMO/FZD2/DVL3/WNT7B/WNT10A/WNT9B/FZD7"
"Natural killer cell mediated cytotoxicity","Natural killer cell mediated cytotoxicity","Natural killer cell mediated cytotoxicity",132,0.46185492740878,1.24553964529909,0.0133764707121745,0.0133764707121745,0.0265590063382869,8306,"tags=59%, list=39%, signal=36%","FCGR3A/SHC1/LCP2/FCER1G/TYROBP/ICAM1/FYN/NFATC4/PPP3CA/IFNAR1/SHC3/PIK3R5/KLRD1/PPP3CC/PIK3CA/ITGB2/FAS/MAPK1/SOS1/SH3BP2/NFATC1/PTPN11/GRB2/PIK3R1/SHC4/MAP2K1/BRAF/FCGR3B/NRAS/NFAT5/PPP3CB/PPP3R1/SOS2/IFNAR2/TNFRSF10C/VAV2/PLCG1/NFATC3/IFNGR1/IFNB1/PIK3CD/HLA-E/IFNGR2/RAF1/CSF2/TNFRSF10D/KIR2DL3/PIK3R3/TNFRSF10B/ULBP3/SHC2/KLRC3/RAC1/MICB/HLA-B/KIR2DL1/KLRC1/TNFSF10/ULBP1/ULBP2/BID/PRF1/TNF/GZMB/PRKCA/ARAF/KIR3DL1/CASP3/TNFRSF10A/PIK3CB/FASLG/HRAS/VAV1/CD247/PIK3CG/SH2D1A/NFATC2/HCST"
"Colorectal cancer","Colorectal cancer","Colorectal cancer",62,0.50326993715357,1.30830998160564,0.0135259269392925,0.0135259269392925,0.0265590063382869,5795,"tags=50%, list=27%, signal=37%","TGFB1/TGFB3/MAPK9/AKT3/TGFBR1/PIK3R5/SMAD2/PIK3CA/MAPK1/LEF1/RHOA/APC/GSK3B/PIK3R1/MAP2K1/TGFBR2/BRAF/MAPK8/SMAD4/MSH6/MSH3/TGFB2/PIK3CD/RAF1/PIK3R3/AKT2/APPL1/RAC1/BCL2/TP53/MAPK10"
"Notch signaling pathway","Notch signaling pathway","Notch signaling pathway",47,0.519641754130653,1.32845831343603,0.0151699464373499,0.0151699464373499,0.0292251202467316,9134,"tags=74%, list=43%, signal=43%","NOTCH3/NOTCH2/RBPJ/NOTCH4/NUMBL/ADAM17/MAML2/MAML1/DLL4/NCOR2/CREBBP/JAG1/DTX3L/SNW1/NUMB/PSEN1/EP300/DVL3/CTBP1/DLL1/LFNG/CTBP2/DVL2/DTX1/PTCRA/DTX4/JAG2/CIR1/APH1A/DTX3/MAML3/NCSTN/MFNG/RFNG/NOTCH1"
"VEGF signaling pathway","VEGF signaling pathway","VEGF signaling pathway",76,0.486428025999397,1.2768919866191,0.015470331697051,0.015470331697051,0.0292518942419873,5645,"tags=42%, list=26%, signal=31%","SPHK1/AKT3/NFATC4/PPP3CA/KDR/PIK3R5/PPP3CC/PXN/PIK3CA/MAPK11/MAPKAPK2/MAPK1/NFATC1/NOS3/PIK3R1/MAPK14/MAP2K1/NRAS/NFAT5/PPP3CB/PPP3R1/PTGS2/PLCG1/NFATC3/CDC42/PIK3CD/RAF1/PIK3R3/AKT2/PTK2/SHC2/RAC1"
"Pathogenic Escherichia coli infection","Pathogenic Escherichia coli infection","Pathogenic Escherichia coli infection",55,0.505333274394562,1.30482947825112,0.0163714885354388,0.0163714885354388,0.0303930026399533,7526,"tags=56%, list=35%, signal=37%","CD14/ITGB1/TLR4/LY96/FYN/YWHAQ/RHOA/NCK1/ARHGEF2/ABL1/ARPC5/TUBA4A/ARPC2/TUBA1A/HCLS1/ACTB/TUBB/TUBB6/ROCK2/CDC42/TUBA1B/ROCK1/WASL/ACTG1/TLR5/YWHAZ/CLDN1/CTTN/PRKCA/ARPC1B/NCL"
"Progesterone-mediated oocyte maturation","Progesterone-mediated oocyte maturation","Progesterone-mediated oocyte maturation",85,0.477900077035461,1.26364424490749,0.0178734195963761,0.0178734195963761,0.0325887537753473,7300,"tags=53%, list=34%, signal=35%","GNAI2/MAPK9/AKT3/IGF1/PIK3R5/ADCY3/RPS6KA2/PIK3CA/MAPK11/ADCY7/ADCY4/CDC27/MAPK1/ADCY9/PIK3R1/MAPK14/MAP2K1/GNAI3/BRAF/MAPK8/ANAPC4/CDC23/CDK2/PRKACA/RPS6KA3/GNAI1/PDE3A/PIK3CD/RAF1/PIK3R3/AKT2/ANAPC13/ANAPC10/MAPK10/AKT1/FZR1/MAD2L2/ANAPC5/ANAPC1/PRKACB/PRKX/ADCY6/CDC16/PDE3B/ARAF"
"Adherens junction","Adherens junction","Adherens junction",73,0.485757856847211,1.27354556710827,0.0184741928991579,0.0184741928991579,0.0330931987297934,4568,"tags=38%, list=21%, signal=30%","SNAI2/SNAI1/PTPRM/FYN/FER/TGFBR1/SMAD2/MAP3K7/PTPRB/MAPK1/LEF1/RHOA/PTPN1/TJP1/CSNK2A2/CREBBP/TGFBR2/IQGAP1/ACTN1/SMAD4/FGFR1/ACTB/VCL/INSR/WASF2/EP300/CDC42/YES1"
"Dorso-ventral axis formation","Dorso-ventral axis formation","Dorso-ventral axis formation",24,0.577262173834655,1.39055721679503,0.0192480258058355,0.0192480258058355,0.0338849093133583,4420,"tags=46%, list=21%, signal=36%","NOTCH3/NOTCH2/ETS1/NOTCH4/MAPK1/SOS1/GRB2/ETV6/MAP2K1/SOS2/SPIRE1"
"Bladder cancer","Bladder cancer","Bladder cancer",42,0.537287491337894,1.36187066499673,0.0196954164984701,0.0196954164984701,0.0340848421115361,8007,"tags=62%, list=37%, signal=39%","MMP2/THBS1/VEGFC/PGF/DAPK3/MAPK1/CXCL8/VEGFB/MMP1/MAP2K1/BRAF/NRAS/MMP9/TYMP/RB1/RAF1/DAPK1/RASSF1/TP53/CDK4/E2F3/ARAF/MDM2/CDKN1A/HRAS/EGFR"
"Amino sugar and nucleotide sugar metabolism","Amino sugar and nucleotide sugar metabolism","Amino sugar and nucleotide sugar metabolism",42,0.530280176440425,1.34410911879826,0.028,0.028,0.0476491228070175,6817,"tags=55%, list=32%, signal=37%","GFPT2/HEXB/HK3/CYB5R3/GNPDA2/NPL/NAGK/HEXA/PGM3/UGP2/GNE/UXS1/PGM1/HK1/PGM2/AMDHD2/UGDH/GALK2/GNPDA1/NANP/FPGT/PMM2/UAP1"
"Non-small cell lung cancer","Non-small cell lung cancer","Non-small cell lung cancer",54,0.497604645370405,1.28193058785844,0.02997002997003,0.02997002997003,0.0501655376547525,8061,"tags=63%, list=38%, signal=39%","AKT3/PIK3R5/PIK3CA/MAPK1/SOS1/RARB/GRB2/PIK3R1/MAP2K1/BRAF/NRAS/TGFA/SOS2/RB1/FOXO3/PDPK1/PLCG1/STK4/PIK3CD/RAF1/PIK3R3/AKT2/RASSF1/TP53/AKT1/CDK4/E2F3/RXRB/PRKCA/ARAF/PIK3CB/HRAS/EGFR/PIK3CG"
"Hematopoietic cell lineage","Hematopoietic cell lineage","Hematopoietic cell lineage",84,0.472814198455396,1.24900028571933,0.030969030969031,0.030969030969031,0.0510016299489984,7164,"tags=46%, list=34%, signal=31%","IL1R1/CD14/CSF1R/FCGR1A/CD34/IL11/CSF3R/IL6/IL7R/CSF2RA/CD4/ITGA4/IL2RA/IL4R/ITGA5/IL3RA/ITGAM/CD59/ITGB3/ITGA1/IL9R/IL5RA/CSF3/ITGA3/ITGA2/ITGA6/HLA-DRA/CSF2/CD2/KIT/CSF1/CR1/GP5/IL1B/CD36/CD33/CD9/TNF/CD1D"
"Viral myocarditis","Viral myocarditis","Viral myocarditis",68,0.483599374536697,1.26464315336426,0.032967032967033,0.032967032967033,0.0534302789941888,7016,"tags=47%, list=33%, signal=32%","CD86/ABL2/LAMA2/MYH10/MYH9/ICAM1/FYN/CAV1/SGCB/CD80/ITGB2/EIF4G2/SGCD/ABL1/MYH3/ACTB/EIF4G3/HLA-DRA/HLA-E/HLA-DMB/HLA-DQA1/RAC1/CD40/HLA-B/ACTG1/CD28/HLA-DPA1/HLA-DPB1/EIF4G1/BID/HLA-DQA2/PRF1"
"Endometrial cancer","Endometrial cancer","Endometrial cancer",52,0.49680605124892,1.27857318147078,0.03996003996004,0.03996003996004,0.063752037436248,8261,"tags=63%, list=39%, signal=39%","AKT3/PIK3R5/ELK1/PIK3CA/PTEN/MAPK1/LEF1/SOS1/GRB2/APC/GSK3B/PIK3R1/MAP2K1/BRAF/NRAS/SOS2/FOXO3/PDPK1/PIK3CD/RAF1/PIK3R3/AKT2/CTNNA1/TP53/AKT1/ARAF/ILK/PIK3CB/HRAS/EGFR/PIK3CG/CTNNB1/MLH1"
"Vasopressin-regulated water reabsorption","Vasopressin-regulated water reabsorption","Vasopressin-regulated water reabsorption",44,0.50467166343575,1.28453161514758,0.044955044955045,0.044955044955045,0.0706176414678439,7301,"tags=64%, list=34%, signal=42%","CREB3L2/CREB1/ADCY3/DYNC1LI2/CREB5/DCTN5/DYNC2H1/ADCY9/DCTN4/DYNC1H1/PRKACA/DCTN1/DYNC1I2/RAB5A/RAB5B/DYNC1LI1/ARHGDIB/DYNLL2/STX4/DCTN6/ARHGDIA/DYNLL1/PRKACB/PRKX/RAB5C/ADCY6/CREB3/DCTN2"
"Vibrio cholerae infection","Vibrio cholerae infection","Vibrio cholerae infection",54,0.489422799883645,1.26085249284427,0.046953046953047,0.046953046953047,0.0726386850788765,7230,"tags=54%, list=34%, signal=36%","ATP6V0E1/ATP6V1B2/ADCY3/ATP6V1E1/ADCY9/TJP1/ATP6V1A/KDELR3/ATP6V1D/ATP6V1C1/ACTB/PRKACA/MUC2/PLCG1/SEC61A1/ATP6V1H/ATP6AP1/TCIRG1/ATP6V1G1/KDELR2/ATP6V0A2/SLC12A2/ATP6V0D1/ACTG1/PRKACB/ATP6V0A1/ARF1/PRKX/PRKCA"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",74,0.469406874899069,1.23147855168448,0.047952047952048,0.047952047952048,0.0730769623149827,4317,"tags=30%, list=20%, signal=24%","ITGA11/ITGAV/ITGB5/ITGB1/LAMA2/CACNB3/SGCB/ITGA4/GJA1/ITGA5/LEF1/ITGB8/SGCD/ITGB3/ATP2A2/ACTN1/ITGB4/ITGA1/ACTB/ITGA3/ITGA2/ITGA6"
"Prion diseases","Prion diseases","Prion diseases",35,0.528036377824829,1.31712259829472,0.049049049049049,0.049049049049049,0.0736495008940829,6923,"tags=51%, list=32%, signal=35%","C1QC/FYN/IL6/C1QB/C1QA/ELK1/LAMC1/NCAM2/MAPK1/MAP2K1/PRKACA/PRNP/C7/HSPA5/STIP1/IL1B/PRKACB/PRKX"
